@relation GesturePredictions

@attribute labels {a,b,c,d,e,f,g,h,i,j,k,l}
@attribute zeroFingerFramesRatio numeric
@attribute oneFingerFramesRatio numeric
@attribute twoFingerFramesRatio numeric
@attribute threeFingerFramesRatio numeric
@attribute fourFingerFramesRatio numeric
@attribute fiveFingerFramesRatio numeric
@attribute rightFramesRatio numeric
@attribute leftFramesRatio numeric
@attribute upFramesRatio numeric
@attribute downFramesRatio numeric
@attribute forwardFramesRatio numeric
@attribute backwardFramesRatio numeric
@attribute avgGripStrength numeric
@attribute avgPinchStrength numeric
@attribute averageTipDistanceRatio numeric
@attribute avgPitch numeric
@attribute avgYaw numeric
@attribute avgRoll numeric
@attribute avgXPalmVelocity numeric
@attribute avgYPalmVelocity numeric
@attribute avgZPalmVelocity numeric
@attribute avgScaleFactor numeric
@attribute avgSphereRadius numeric

@data
a,846,9153,0,0,0,0,923,1000,76,0,3076,9230,1454,9635,3755894,5867,-4119,4729,-91197,-207113,-27214,9873,380712
a,714,9285,0,0,0,0,1269,1111,158,0,1587,7936,1184,9785,3736902,5624,1614,-5121,-348108,-295177,6118,9887,398910
a,763,9236,0,0,0,0,1388,1319,208,0,4166,9722,740,9278,3958568,4827,1250,-5154,-247579,-393172,-29243,9885,400461
a,1716,8283,0,0,0,0,1343,1268,0,74,8955,13432,3354,9236,3168932,5751,3730,-6682,-447046,-98515,7944,9879,392451
a,2265,6015,1718,0,0,0,1484,1171,0,0,9375,17187,2022,8577,4024736,7286,-2118,-1733,-274903,506140,480743,9844,398503
a,1633,8366,0,0,0,0,718,784,196,65,6535,5882,2485,8740,3465141,4675,894,-4531,-371686,-207940,56479,9895,392689
a,1086,8768,144,0,0,0,1449,942,72,0,14492,9420,1085,9199,3567283,5033,-6016,1202,128817,-333890,-139189,9868,395752
a,846,9153,0,0,0,0,1307,1153,76,153,10769,11538,955,8767,3724552,6274,1202,-5621,97128,-206713,55168,9875,405526
a,1862,8137,0,0,0,0,1724,1517,137,206,5517,7586,2020,9498,3444836,4407,2271,-4447,-79266,-287946,-47776,9924,393865
a,1159,8840,0,0,0,0,1014,1086,72,144,3623,7246,1255,9840,3588531,4870,1526,-3679,-303643,-398353,9594,9876,404131
a,1639,8360,0,0,0,0,1721,1147,0,81,7377,9016,2151,9162,3454705,4575,2399,-5913,-614926,-209668,172151,9867,379944
b,1818,8181,0,0,0,0,454,909,0,151,15151,6818,2382,9821,3203473,6347,-6222,4327,442548,-407824,276568,9916,375458
b,1229,8770,0,0,0,0,1475,655,163,245,7377,18032,2047,9035,3260230,5602,3258,-1877,98623,-452031,43881,9898,405872
b,1574,8425,0,0,0,0,1102,78,157,314,9448,11023,1858,9115,3634585,4254,2027,-1856,135371,-285205,392097,9870,390406
b,751,9248,0,0,0,0,902,0,75,75,7518,9022,1853,9331,3425991,6023,1416,-1363,59174,-191177,283963,9884,395696
b,1555,8444,0,0,0,0,1703,444,74,296,11851,11111,2540,9820,3270333,5682,1658,-1644,292482,-337717,267795,9874,382592
b,2794,7205,0,0,0,0,1102,514,147,73,13970,22794,3218,9085,2970749,6916,1623,-2776,-111436,-354789,81966,9951,390022
b,2640,7360,0,0,0,0,1360,320,240,400,17600,15200,2465,9341,3221814,6547,15,-3691,712337,-124163,253279,9933,386854
b,392,9607,0,0,0,0,980,588,196,294,19607,16666,841,7895,3672011,7122,2116,-3654,182323,-318233,760482,9880,411175
b,769,9230,0,0,0,0,1623,256,0,0,13675,12820,1736,8317,3353378,6090,1730,-2729,185627,-343298,245054,9864,401532
b,1777,8222,0,0,0,0,1185,148,222,74,9629,22222,2164,9977,3141829,8610,3483,-1319,-41149,-67452,150681,9883,379442
b,2400,7600,0,0,0,0,1600,0,0,200,15000,22000,2626,9707,3232107,6610,1904,-1493,239393,-50191,293394,9859,388694
b,1985,8014,0,0,0,0,955,147,73,147,11764,15441,2581,9680,3370504,5705,-3608,6494,-55879,-143899,-136380,9877,390191
b,3235,6764,0,0,0,0,1544,73,73,294,14705,22058,3260,9974,2860451,7628,-2807,7066,-321659,-308918,-217485,9882,375114
b,467,9532,0,0,0,0,934,0,0,0,11214,11214,752,9730,3678035,5886,1945,-1544,702393,8999,464551,9846,391191
b,677,9322,0,0,0,0,1016,0,0,338,8474,8474,1565,9548,3314595,3836,414,-1298,224888,-477812,216911,9875,391688
b,934,9065,0,0,0,0,1214,186,93,93,14953,11214,1387,8090,3420905,5887,-544,-2656,349804,-221922,-86270,9840,401086
b,1752,8247,0,0,0,0,1237,618,618,515,9278,13402,2251,9393,3668578,3623,1336,555,19204,-479550,348284,9839,394250
b,1166,8833,0,0,0,0,1250,83,0,83,10000,17500,1746,9816,3312029,4936,1642,-2185,125186,-412249,181455,9872,397845
b,2058,7941,0,0,0,0,808,220,147,73,11029,16911,2214,9836,3332987,7185,3575,-4714,61018,-531450,97951,9894,391015
