@relation GesturePredictions

@attribute labels {a,b,c,d,e,f,g,h,i,j,k,l}
@attribute zeroFingerFramesRatio numeric
@attribute oneFingerFramesRatio numeric
@attribute twoFingerFramesRatio numeric
@attribute threeFingerFramesRatio numeric
@attribute fourFingerFramesRatio numeric
@attribute fiveFingerFramesRatio numeric
@attribute rightFramesRatio numeric
@attribute leftFramesRatio numeric
@attribute upFramesRatio numeric
@attribute downFramesRatio numeric
@attribute forwardFramesRatio numeric
@attribute backwardFramesRatio numeric
@attribute avgGripStrength numeric
@attribute avgPinchStrength numeric
@attribute averageTipDistanceRatio numeric
@attribute avgPitch numeric
@attribute avgYaw numeric
@attribute avgRoll numeric
@attribute avgXPalmVelocity numeric
@attribute avgYPalmVelocity numeric
@attribute avgZPalmVelocity numeric
@attribute avgScaleFactor numeric
@attribute avgSphereRadius numeric

@data
a,1043,8956,0,0,0,0,1130,1304,86,173,4347,6956,2243,8324,4831010,4565,-1038,1552,187452,311388,360715,9844,426147
b,1363,8636,0,0,0,0,1000,545,181,90,4545,14545,1380,9178,3970041,5926,806,-2673,487909,-343159,-92512,9862,418721
h,4615,5384,0,0,0,0,2615,2153,615,923,10769,15384,10000,7054,1453883,3436,-64,-3904,128978,-119824,-356293,9839,350330
k,0,0,0,3076,5128,1794,2564,2820,256,769,33333,10256,0,2993,3671250,2955,-905,6472,-175978,-3030034,-851357,9751,923685
a,952,8630,416,0,0,0,416,654,59,59,1785,7738,1033,7565,3876077,5371,-5909,1025,86171,67974,252018,9889,412705
a,987,9012,0,0,0,0,740,555,0,0,3086,6172,1223,9506,4134784,4314,2844,-7037,-23351,-6397,267325,9904,411246
a,1250,8750,0,0,0,0,694,486,138,0,694,6944,1278,9798,4076468,4136,2743,-7189,89320,-47863,385217,9882,411508
a,1159,8840,0,0,0,0,1376,869,0,0,3623,7246,1532,9377,4060028,5153,3232,-7490,-32300,131680,680743,9886,396041
a,864,8765,370,0,0,0,246,246,61,0,2469,6790,858,6743,3903652,5726,-4615,2591,-269722,11222,169049,9888,412925
a,507,9492,0,0,0,0,579,362,0,0,2898,2898,757,9648,4335310,3832,3186,-7205,109683,166196,461603,9871,404502
a,866,9133,0,0,0,0,866,466,0,0,5333,2666,1605,7369,3811391,6385,-5015,484,-137262,264657,419462,9904,412116
a,985,9014,0,0,0,0,985,633,0,281,2112,4929,1227,9848,4121740,3692,3052,-7039,380441,137686,575732,9875,406911
a,1020,8979,0,0,0,0,1530,1326,0,0,7142,8163,1338,9954,4062328,4958,3077,-6157,-7243,-31244,557763,9843,408393
a,1200,8800,0,0,0,0,1500,1100,100,0,6000,7000,1441,9815,3951929,5180,2678,-6426,188633,24422,311518,9830,411825
a,833,9166,0,0,0,0,1250,583,0,83,0,10833,1319,9990,3872696,6308,4079,-5149,-298236,-121864,375303,9850,408861
a,1555,8444,0,0,0,0,1037,592,74,222,1481,11851,1824,8961,3651809,5576,-5395,-37,322528,-143929,211386,9864,401864
a,1531,8468,0,0,0,0,450,990,0,0,4504,9009,3252,9014,3178180,6518,-5931,851,56097,239924,386802,9833,387230
a,1328,8671,0,0,0,0,699,699,139,69,2797,4895,1265,7430,4603493,2252,1010,-3933,-35834,108578,234459,9891,427817
a,1632,8367,0,0,0,0,1428,918,306,0,8163,14285,1700,7598,3594598,7058,-3483,744,213077,-222471,387595,9801,402825
a,1167,8832,0,0,0,0,1532,583,72,72,0,11678,1121,9837,4173149,3763,3703,-7669,74972,-180738,669881,9878,413731
a,719,9280,0,0,0,0,431,863,0,359,1438,5755,1033,9851,4175147,3427,3260,-7429,49006,-110489,308271,9894,402780
a,1194,8301,503,0,0,0,754,503,125,125,6918,5031,2207,7360,3647093,5782,-3827,-332,384962,-137172,228906,9880,394410
a,1346,8653,0,0,0,0,833,256,64,0,0,10256,1216,10000,3894334,5755,4106,-6988,-74274,-224257,462588,9879,398666
a,1452,8547,0,0,0,0,1196,1025,85,85,1709,11965,1386,9394,3705543,5423,3266,-6223,-34937,-57061,320998,9854,409805
a,1860,8139,0,0,0,0,775,465,0,0,4651,6201,1560,9758,3914320,4894,3588,-6664,-287471,-68943,582097,9873,396181
a,616,8835,547,0,0,0,753,616,68,0,1369,4109,1000,9239,4067715,4486,4085,-7485,84444,-97593,297436,9859,412950
a,1595,8404,0,0,0,0,552,552,61,0,2453,9815,1913,6840,3746873,6210,-6343,1393,155033,11492,364005,9895,391473
a,1490,8198,310,0,0,0,1118,124,0,0,4968,8695,2536,6993,3523835,6460,-4931,2019,-129192,-295142,160661,9882,377375
a,1562,8437,0,0,0,0,1125,750,0,0,2500,6875,2175,8973,3543117,6233,-5278,1835,365995,-150690,234478,9899,395612
a,1846,8153,0,0,0,0,1384,384,76,0,3076,11538,1873,9320,3548142,4895,3862,-6677,129110,-201830,560753,9852,410755
a,1567,8432,0,0,0,0,1044,597,0,0,1492,4477,1552,9827,3787649,4230,3314,-4556,344658,76078,460398,9868,398866
a,1923,8076,0,0,0,0,192,833,0,0,0,8333,2310,9353,3682726,5778,-6259,3659,565017,-67970,291793,9883,390838
a,1307,8692,0,0,0,0,1000,615,0,0,769,5384,783,9905,3906956,5008,3640,-3331,295912,-204432,517525,9863,417829
a,1145,8854,0,0,0,0,1145,1068,76,0,3816,9923,1218,9420,3896136,4809,3072,-5662,159510,-25503,574210,9857,414648
a,1057,8942,0,0,0,0,1730,865,0,0,9615,6730,1226,9804,3848354,5120,2853,-5831,21088,-153528,588722,9832,403663
a,2134,7865,0,0,0,0,898,1123,0,0,2247,11235,1995,9935,3842626,5275,3530,-5658,167996,254409,460136,9803,398911
a,1545,8000,454,0,0,0,545,1000,0,90,6363,8181,1536,8870,3666913,5219,-4412,4725,280487,200215,211407,9826,400522
a,714,9285,0,0,0,0,1632,918,0,204,3061,4081,691,9866,4024384,2989,3212,-5462,143434,70664,120921,9841,406661
a,571,9428,0,0,0,0,1619,952,190,190,5714,7619,723,9764,4147739,4532,3029,-6345,276845,-49628,657731,9853,416693
a,725,9112,161,0,0,0,1209,483,0,161,1612,5645,843,9354,3642372,5847,3305,-2632,-73991,123285,443298,9848,411842
a,423,9576,0,0,0,0,1186,338,84,84,847,2542,464,9913,4274950,3244,1775,-4274,-47393,-27060,432976,9881,418996
a,467,9532,0,0,0,0,1121,934,186,0,0,7476,595,9314,4241778,3468,2267,-5482,29007,75305,286672,9870,405640
a,1553,8446,0,0,0,0,1747,582,194,194,970,7766,1516,9124,3748947,2904,3582,-3137,19776,285290,176877,9826,413848
a,982,9017,0,0,0,0,1071,803,178,0,2678,5357,1260,9975,4034640,4193,2410,-5524,268500,-145832,420928,9845,405767
